C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,ITM_NM_ENG,C2_NM_ENG,ORG_ID,C2_OBJ_NM,UNIT_NM_ENG,UNIT_NM
행정구역별,소계,4137,I_13,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2021,2025-06-02,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,여성 대표자,445,I_14,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2011,2014-01-03,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,,542,종사자규모별,,
행정구역별,여성 대표자,459,I_14,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2012,2014-04-21,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,,542,종사자규모별,,
행정구역별,여성 대표자,460,I_14,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2013,2015-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,,542,종사자규모별,,
행정구역별,여성 대표자,509,I_14,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2014,2016-03-10,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,,542,종사자규모별,,
행정구역별,여성 대표자,535,I_14,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2015,2019-08-14,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,,542,종사자규모별,,
행정구역별,여성 대표자,569,I_14,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2016,2018-06-26,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,,542,종사자규모별,,
행정구역별,여성 대표자,589,I_14,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2017,2019-05-13,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,,542,종사자규모별,,
행정구역별,여성 대표자,613,I_14,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2018,2020-05-25,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,,542,종사자규모별,,
행정구역별,여성 대표자,647,I_14,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2019,2021-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,,542,종사자규모별,,
행정구역별,여성 대표자,949,I_14,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2020,2022-10-19,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,,542,종사자규모별,,
행정구역별,여성 대표자,983,I_14,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2021,2025-06-02,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,,542,종사자규모별,,
행정구역별,소계,7936,I_15,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2011,2014-01-03,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,7895,I_15,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2012,2014-04-21,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,8657,I_15,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2013,2015-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,9170,I_15,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2014,2016-03-10,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,9888,I_15,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2015,2019-08-14,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,10103,I_15,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2016,2018-06-26,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,10749,I_15,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2017,2019-05-13,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,11563,I_15,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2018,2020-05-25,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,12087,I_15,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2019,2021-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,15109,I_15,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2020,2022-10-19,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,소계,15412,I_15,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2021,2025-06-02,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Sub-total,542,종사자규모별,,
행정구역별,남,5598,I_16,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2011,2014-01-03,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Male,542,종사자규모별,,
행정구역별,남,5478,I_16,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2012,2014-04-21,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Male,542,종사자규모별,,
행정구역별,남,6089,I_16,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2013,2015-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Male,542,종사자규모별,,
행정구역별,남,6472,I_16,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2014,2016-03-10,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Male,542,종사자규모별,,
행정구역별,남,7073,I_16,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2015,2019-08-14,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Male,542,종사자규모별,,
행정구역별,남,7166,I_16,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2016,2018-06-26,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Male,542,종사자규모별,,
행정구역별,남,7581,I_16,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2017,2019-05-13,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Male,542,종사자규모별,,
행정구역별,남,8191,I_16,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2018,2020-05-25,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Male,542,종사자규모별,,
행정구역별,남,8473,I_16,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2019,2021-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Male,542,종사자규모별,,
행정구역별,남,10537,I_16,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2020,2022-10-19,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Male,542,종사자규모별,,
행정구역별,남,10699,I_16,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2021,2025-06-02,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Male,542,종사자규모별,,
행정구역별,여,2338,I_17,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2011,2014-01-03,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Female,542,종사자규모별,,
행정구역별,여,2417,I_17,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2012,2014-04-21,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Female,542,종사자규모별,,
행정구역별,여,2568,I_17,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2013,2015-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Female,542,종사자규모별,,
행정구역별,여,2698,I_17,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2014,2016-03-10,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Female,542,종사자규모별,,
행정구역별,여,2815,I_17,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2015,2019-08-14,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Female,542,종사자규모별,,
행정구역별,여,2937,I_17,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2016,2018-06-26,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Female,542,종사자규모별,,
행정구역별,여,3168,I_17,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2017,2019-05-13,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Female,542,종사자규모별,,
행정구역별,여,3372,I_17,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2018,2020-05-25,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Female,542,종사자규모별,,
행정구역별,여,3614,I_17,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2019,2021-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Female,542,종사자규모별,,
행정구역별,여,4572,I_17,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2020,2022-10-19,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Female,542,종사자규모별,,
행정구역별,여,4713,I_17,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2021,2025-06-02,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Female,542,종사자규모별,,
행정구역별,사업체,1474,I_18,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2011,2014-01-03,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,1521,I_18,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2012,2014-04-21,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,1536,I_18,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2013,2015-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,1696,I_18,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2014,2016-03-10,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,1823,I_18,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2015,2019-08-14,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,1944,I_18,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2016,2018-06-26,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,1890,I_18,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2017,2019-05-13,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,1937,I_18,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2018,2020-05-25,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,2064,I_18,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2019,2021-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,3352,I_18,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2020,2022-10-19,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,3483,I_18,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2021,2025-06-02,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,종사자,3013,I_19,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2011,2014-01-03,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,2898,I_19,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2012,2014-04-21,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,3018,I_19,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2013,2015-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,3402,I_19,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2014,2016-03-10,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,3517,I_19,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2015,2019-08-14,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,3843,I_19,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2016,2018-06-26,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,3963,I_19,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2017,2019-05-13,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,4143,I_19,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2018,2020-05-25,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,4292,I_19,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2019,2021-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,5887,I_19,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2020,2022-10-19,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,6112,I_19,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2021,2025-06-02,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,사업체,200,I_20,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2011,2014-01-03,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,196,I_20,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2012,2014-04-21,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,215,I_20,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2013,2015-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,238,I_20,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2014,2016-03-10,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,271,I_20,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2015,2019-08-14,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,289,I_20,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2016,2018-06-26,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,335,I_20,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2017,2019-05-13,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,356,I_20,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2018,2020-05-25,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,390,I_20,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2019,2021-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,457,I_20,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2020,2022-10-19,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,사업체,449,I_20,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2021,2025-06-02,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Establishment,542,종사자규모별,%,개
행정구역별,종사자,1340,I_21,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2011,2014-01-03,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,1253,I_21,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2012,2014-04-21,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,1370,I_21,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2013,2015-04-29,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,1486,I_21,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2014,2016-03-10,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,1701,I_21,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2015,2019-08-14,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,1845,I_21,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2016,2018-06-26,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
행정구역별,종사자,2159,I_21,11101BSM2112051,A,I_1,DT_54201_D001005,종사자규모별 사업체수 및 종사자수,종사자규모별 사업체수 및 종사자수,2017,2019-05-13,Daejeo 1(il)-dong,대저1동,Number of Establishments and Workers by Workforce Size,Worker,542,종사자규모별,In Person,명
