시군구,종류,시작년도,종료년도,url,orgId,tblId
세종특별자치시,종사자규모별,2012,2021,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=T1+T2+T3+T4+T5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=208&tblId=DT_20802N_036,208,DT_20802N_036
세종특별자치시,산업별,2012,2021,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=T1+T2+T3+T4+T5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=208&tblId=DT_20802N_037,208,DT_20802N_037
강원특별자치도,종사자규모별,1993,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=1621113103117050T1+1621113103117050T2+1621113103117050T3+1621113103117050T4+1621113103117050T5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=211&tblId=DT_211002_D004,211,DT_211002_D004
강원특별자치도,산업별,2007,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=Y01+Y03+Y02+Y04+Y05+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=211&tblId=DT_211002_D005,211,DT_211002_D005
충청북도,종사자규모별,1996,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=BNBN+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=212&tblId=DT_E13,212,DT_E13
충청북도,산업별,2007,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=BDDB+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=212&tblId=DT_E16,212,DT_E16
충청남도,종사자규모별,2013,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_2+I_3+I_4+I_5+I_6+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=213&tblId=DT_21303_D000005,213,DT_21303_D000005
충청남도,산업별,2013,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_2+I_3+I_4+I_5+I_6+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=213&tblId=DT_21303_D000006,213,DT_21303_D000006
전북특별자치도,종사자규모별,2001,2022,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=13103115025T1+13103115025T3+13103115025T2+13103115025T4+13103115025T5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=214&tblId=DT_1D05000,214,DT_1D05000
전북특별자치도,산업별,2007,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_1+I_2+I_3+I_4+I_5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=214&tblId=DT_21402_D004,214,DT_21402_D004
전라남도,종사자규모별,2002,2021,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=T1+T2+T3+T4+T5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=215&tblId=DT_215N_D05,215,DT_215N_D05
전라남도,산업별,2007,2021,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=T1+T2+T3+T4+T5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=215&tblId=DT_215N_D10,215,DT_215N_D10
경상북도,종사자규모별,2011,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_1+I_2+I_3+I_4+I_5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=216&tblId=DT_21603_D001002,216,DT_21603_D001002
경상북도,산업별,2011,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_1+I_2+I_3+I_4+I_5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=216&tblId=DT_21603_D001003,216,DT_21603_D001003
경상남도,종사자규모별,2000,2023,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=T001+T002+T003+T004+T005+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=217&tblId=DT_217003N_D002,217,DT_217003N_D002
제주특별자치도,종사자규모별,2012,2022,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_1+I_37+I_38+I_39+I_40+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=218&tblId=DT_21802_D001002,218,DT_21802_D001002
제주특별자치도,산업별,2012,2022,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList&apiKey=인증키없음&itmId=I_1+I_2+I_3+I_4+I_5+&objL1=ALL&objL2=ALL&objL3=&objL4=&objL5=&objL6=&objL7=&objL8=&format=json&jsonVD=Y&prdSe=Y&newEstPrdCnt=3&orgId=218&tblId=DT_21802_D001003,218,DT_21802_D001003
